# 2026-07 Monthly Brief screening ledger
# count=365 | main=3bb929004ff8b547b86e5f1beab0efb3dac19d62 | blob=beb2aa7615b583b4c9c0c269974601a0b26c2684

001 | top  | 2026-07-31 | GL | 2026-07-31_GL_02 | 인도, 5,000MW 수상태양광·최소 2시간 ESS PM-Surya Sarovar 승인 | FACT: 인도 연방 내각은 PM-Surya Sarovar Yojana를 승인했다. 제도는 5,000MW 수상태양광과 최소 2시간 에너지저장장치를 결합하는 구조를 지원한다. | GATE: 이번 사건은 제도 승인 단계이며 개별 프로젝트 선정·착공을 의미하지 않는다. 후속 판단 지점은 세부 사업 선정과 실제 집행 속도다.
280 | high | 2026-07-03 | GL | 2026-07-03_GL_05 | Saudi SPPC, 3GW·12GWh BESS 2차 입찰 사전적격 27개사 선정 | FACT: Saudi Power Procurement Company의 2차 BESS 입찰은 총 3GW·12GWh 규모로, 6개 500MW·2,000MWh 프로젝트를 BOO 방식으로 추진하는 구조다. 업로드 원문과 산업매체 보도는 27개사가 사전적격자로 선정됐다고 설명한다. 이 단계는 입찰 참여자 풀을 확정하는 절차이며, 프로젝트별  | GATE: 확인된 것은 3GW·12GWh 입찰 구조와 27개사 사전적격 단계다. `prequalified`는 `awarded`가 아니므로 수주·공급계약·배터리 물량 확정으로 쓰면 안 된다. SPPC 공식 RFQ/PDF와 프로젝트별 낙찰 결과는 Final QC 전 추가 확인 대상이
281 | high | 2026-07-03 | GL | 2026-07-03_GL_03 | DRC, 상반기 미사용 코발트 쿼터 몰수…국가 전략쿼터로 재배분 | FACT: DRC 전략광물시장 규제기관 ARECOMS는 2026년 상반기 수출쿼터 중 6월 30일까지 사용되지 않은 코발트 물량을 몰수해 국가의 전략쿼터로 자동 재배분한다고 통지했다. 회수물량은 기존 기업 배정분에서 차감되고 다음 기간으로 이월되지 않는다. 상반기 쿼터 적용을 받으려면 해당 선적이 7월 5일까지 세관시스템에 등록돼야 | GATE: 회수대상 기업·물량, 전략쿼터의 최종 수혜자와 실제 선적규모는 아직 공개되지 않았다. 행정상 쿼터 재배정은 즉시 현물공급 감소와 동일하지 않으며 재고, 통관지연과 수출제품 형태를 함께 봐야 한다.
282 | high | 2026-07-03 | GL | 2026-07-03_GL_02 | 2026년 1~5월 글로벌 EV 배터리 469.2GWh…상위 10개 중 중국 7사 72.6% | FACT: SNE Research에 따르면 2026년 1~5월 전 세계 EV·PHEV·HEV 등록차량에 탑재된 배터리 사용량은 469.2GWh로 전년 동기 대비 16.3% 증가했다. CATL은 188.4GWh·40.2%, BYD는 67.6GWh·14.4%로 합산 54.6%를 기록했다. 상위 10개 업체에 포함된 중국기업 7곳의 합산 | GATE: 72.6%는 전 세계 모든 중국기업을 포괄한 별도 집계가 아니라 상위 10개에 포함된 중국 7사의 합산치다. 사용량은 등록차량 탑재용량으로 생산능력·셀 출하·매출·수익성과 동일하지 않으며 ESS 배터리는 제외된다. 중국 내수 등록량과 BYD의 완성차 내재화가 순위에 미
283 | high | 2026-07-03 | GL | 2026-07-03_GL_01 | 일본·인도, 핵심광물·반도체·청정에너지 경제안보 협력 프레임 확대 | FACT: 일본과 인도 정상은 2026년 7월 2일 경제안보 협력 공동선언과 관련 문서를 채택했다. 반도체·핵심광물·ICT·AI·청정에너지 협력을 확대하는 한편, 양국 경제부처는 별도의 축전지 협력각서에 서명했다. 각서는 공적 지원 활용, 투자·기술협력을 막는 규제의 원활화, 지식재산·기밀정보 보호와 지방정부를 포함한 현지 협력을  | GATE: 공동선언과 축전지 협력각서는 정책지원 채널을 구체화했지만 개별 기업의 투자액·부지·금융·오프테이크를 확정한 계약은 아니다. 후속 사업 선정과 예산·투자계약이 실행성을 가르는 기준이다.
284 | high | 2026-07-03 | EU | 2026-07-03_EU_01 | 인피니언, 드레스덴 50억유로 300mm 스마트 파워 팹 조기 개소 | FACT: 인피니언은 2026년 7월 2일 독일 드레스덴 Smart Power Fab을 계획보다 수개월 앞서 개소했다. 총투자액은 50억유로로 회사 역사상 최대 단일투자이며 약 1,000개의 직접 일자리를 목표로 한다. 신규 팹은 300mm 웨이퍼 기반 전력반도체와 아날로그·혼합신호 제품을 생산해 AI 데이터센터, 자동차, 재생에너 | GATE: 개소는 장비인증·제품별 양산램프와 계획능력 달성을 의미하지 않는다. 제품 믹스, 웨이퍼 투입량, 수율·가동률과 고객인증, 공공지원을 제외한 투자수익성은 별도 확인이 필요하다. 전력반도체 수요가 둔화될 경우 대규모 고정비의 가동률 민감도가 커질 수 있다.
285 | high | 2026-07-03 | CN | 2026-07-03_CN_03 | Envision AESC 46120 양산 보도…BMW Neue Klasse향 대원통 폼팩터 경쟁 신호 | FACT: 중국 산업매체 보도에 따르면 Envision AESC의 46120 대원통 배터리는 창저우와 우시 장인 공장에서 규모화 양산 단계에 들어갔고 BMW Neue Klasse 플랫폼 공급을 지원하는 것으로 제시됐다. 이 카드는 특정 물량 확정이 아니라, 각형·파우치·원통형 경쟁 속에서 대원통 폼팩터가 프리미엄 EV 플랫폼 공급망 | GATE: 확인된 것은 중국 산업매체가 전한 규모화 양산·BMW 플랫폼 공급 보도다. BMW 또는 Envision AESC 공식 원문, 공급계약 물량, 수율, 차량별 탑재 일정, 실제 출하량, 양산 품질 지표는 아직 공개자료로 잠기지 않았다.
286 | high | 2026-07-03 | CN | 2026-07-03_CN_01 | 산시 중라이, 5GW TOPCon 라인의 무은 BC 전환안 등록 예비심사 통과 | FACT: 산시 중라이는 연산 16GW 전지공장 1기의 기존 5GW TOPCon 생산라인을 무은 고효율 BC 전지라인으로 전환하는 기술개조안을 제출해 등록 예비심사를 통과했다. 계획투자액은 7억위안이며 소결로·레이저 등 공정장비를 추가해 5GW를 전환한다. 회사가 제시한 목표는 평균 양산효율 27.3% 이상, 최고효율 28% 초과이 | GATE: 등록 예비심사는 최종 등록, 이사회 투자승인, 자금집행·장비발주나 착공과 다르다. 27.3%·28%는 목표치이며 시험조건, 양산수율과 장기 신뢰성 검증이 필요하다. 무은 금속화의 접촉저항·수명과 기존 TOPCon 자산의 재사용범위가 실제 CAPEX 효율을 결정한다.
287 | high | 2026-07-02 | US | 2026-07-02_US_06 | Moment Energy, 퇴역 EV 배터리 재사용 BESS 공장 Megafactory 1 개소 | FACT: Moment Energy는 2026년 6월 23일 캐나다 브리티시컬럼비아에서 퇴역 EV 배터리팩을 고정형 BESS로 전환하는 Megafactory 1을 공식 개소했다. 데이터센터·병원·공장·마이크로그리드용 상업규모 시스템을 생산하며 회사는 프로젝트 발표 후 약 6주 만에 시설을 열었다고 밝혔다. 회사는 시설을 세계 최대  | GATE: 세계 최대는 회사 주장으로 현재 처리·생산능력과 비교대상 데이터가 공개돼야 검증할 수 있다. 1GWh는 2030년 목표이지 현재 실적이 아니다. 팩별 잔존수명·이력 데이터, 진단수율, 안전인증·보증비용, 자동차사 공급계약과 신규 LFP BESS 대비 총원가가 사업성을 
288 | high | 2026-07-02 | US | 2026-07-02_US_05 | 미 DOE, 석탄계 핵심광물 회수 파일럿 5건에 7,500만달러 지원협상 선정 | FACT: 미 에너지부 핵심광물·에너지혁신실은 석탄과 석탄계 원료에서 희토류와 기타 핵심물질을 생산하는 5개 프로젝트에 총 7,500만달러 규모 지원을 발표했다. 대상은 상업설비 이전의 파일럿 규모 회수시설이며 선정기관은 최종 협약·조건 협상을 거쳐 자금을 받게 된다. | GATE: 선정발표는 최종 보조금 의무부담이나 전액집행과 동일하지 않다. 프로젝트별 연방지원액·민간분담, 원료특성, 회수율·제품순도, 단위원가, 환경정화 비용과 상업규모 확대경로를 확인해야 한다.
289 | high | 2026-07-02 | US | 2026-07-02_US_04 | IperionX, 테네시 Camden 핵심광물·중희토류 자산 300만달러 인수 완료 | FACT: IperionX는 테네시 Camden의 핵심광물·중희토류 관련 광물권·부지와 기존 산업인프라 자산을 300만달러에 인수했다. 취득자산에는 약 70에이커의 지표 적치물과 전력·용수·천연가스·중량화물 철도 접근성이 포함된다. 회사는 적치물 sonic drilling, 야금시험과 인프라 최적화를 거쳐 Camden–Titan 통 | GATE: 약 70에이커 적치물과 회사가 제시한 고품위 표본은 규정자원량·평균품위나 경제성을 의미하지 않는다. 취득가격이 낮더라도 환경책임, 적치물 소유권·처리권, 야금회수율과 제품규격이 확인돼야 한다. 통합 경제성 연구 전에는 CAPEX 절감과 개발기간 단축을 확정할 수 없다.
290 | high | 2026-07-02 | US | 2026-07-02_US_02 | Arkema, 켄터키 PVDF 능력 15% 증설 가동…약 2,000만달러 투자 | FACT: Arkema는 미국 켄터키 Calvert City 사업장의 PVDF 생산능력을 15% 확대하는 프로젝트를 가동했다. 투자규모는 약 2,000만달러이며 회사는 에너지저장시스템과 반도체 수요 증가에 대응하기 위한 투자라고 설명했다. 중국 사업장에서는 2028년 완료를 목표로 PVDF 생산능력 20% 증설도 추진한다. | GATE: 절대 생산톤수, 배터리 바인더·반도체 등급별 믹스, 고객별 계약물량과 가동률은 공개되지 않았다. 증설률은 기존 사이트 능력 대비 수치로 시장점유율 증가와 동일하지 않다. 고객인증·램프업 수율, 원료·에너지비와 지역별 수요가 수익성을 결정한다.
291 | high | 2026-07-02 | US | 2026-07-02_US_01 | LG에너지솔루션·혼다 오하이오 JV, ESS용 배터리 셀 양산 개시 | FACT: LG에너지솔루션과 혼다의 합작사 L-H Battery Company는 2026년 7월 2일 미국 오하이오 제퍼슨빌 공장에서 ESS용 리튬이온 셀 양산을 시작했다. 생산 셀은 LG Energy Solution Vertech를 통해 미국의 전력망·상업·산업·주거용 ESS에 공급될 예정이다. 공장은 당초 약 40GWh 규모의  | GATE: 양산개시는 램프업 시작점이며 공장 전체 40GWh가 ESS로 전환됐다는 의미가 아니다. ESS 셀 화학계, 전용 라인수·연간능력, 초기 고객·출하량·수율과 투자전환비는 공개되지 않았다. HEV 생산은 확정계획이 아니라 시장수요에 따른 선택지다.
292 | high | 2026-07-02 | KR | 2026-07-02_KR_11 | 삼성SDI, 천안 차세대 배터리 마더라인 투자 | FACT: 삼성은 7월 2일 천안에 삼성SDI 차세대 배터리 기술 검증을 위한 마더라인에 투자할 계획이라고 밝혔다. 현재 단계는 기술 검증 거점에 대한 투자 계획이다. | GATE: 현재 확인된 것은 기술 검증용 마더라인 투자 계획이다. 구체적인 라인 구축과 검증 결과를 후속 확인해야 한다.
293 | high | 2026-07-02 | KR | 2026-07-02_KR_10 | 포스코, 2033년 리튬 17.3만톤·3년 성장투자 16.7조원 제시 | FACT: 포스코그룹은 7월 2일 CEO 인베스터데이에서 2033년까지 연 17만3,000톤 리튬 생산체제를 구축해 글로벌 톱5에 진입하겠다고 발표했다. 염수리튬 3·4단계 투자를 조기 추진하고 호주 Mineral Resources와의 합작으로 연 18만7,000톤 이상의 리튬 정광을 확보했다. 그룹은 2026~2028년 미래 성장 | GATE: 17.3만톤은 2033년 목표 생산체제이며 18.7만톤은 리튬 정광으로 완제품 리튬 생산량과 다르다. 투자·이익목표는 가격, 수율, 인허가, 금융과 단계별 CAPEX 집행에 좌우된다.
294 | high | 2026-07-02 | KR | 2026-07-02_KR_09 | 환경공단·한은·농협, 예금토큰형 디지털화폐로 전기차 충전보조금 집행 실증 | FACT: 한국환경공단, 한국은행과 NH농협은행은 2026년 7월 2일 전기차 중속 충전시설 보조사업에 디지털화폐 기반 예산집행 체계를 적용하는 업무협약을 체결했다. 사업규모는 300억원이고 대상은 출력 30~50kW급 충전시설이다. 세 기관은 한국은행 디지털화폐 네트워크와 보조금 집행관리 체계를 구축하며 농협은행은 예산관리 시스템 | GATE: 일반 국민에게 중앙은행이 직접 발행하는 소매 CBDC와 은행예금 기반 토큰을 구분해야 한다. 최종 발행·결제구조, 법적 지급수단성, 참여은행·가맹점과 개인정보·오류처리 방식은 사업지침을 확인해야 한다. MOU는 시스템 구축·실증성과 또는 전국확대를 의미하지 않는다.
295 | high | 2026-07-02 | KR | 2026-07-02_KR_05 | 미코파워, 2kW 직접수소 SOFC 유럽 CE 전 항목 인증 | FACT: 미코파워는 상용 고체산화물연료전지(SOFC) ‘2kW 직접수소 모델’이 유럽 CE 인증의 5대 핵심 항목을 모두 통과했다고 2026년 7월 2일 밝혔다. 인증범위는 가스기기 규정, 저전압 지침, 전자파 적합성, 에너지 관련 제품 지침과 공장심사이며 ErP 부문에서 A+ 등급을 받았다. 인증 범위는 GAR·LVD·EMC·E | GATE: CE 인증은 유럽 판매를 위한 규제 적합성 관문을 통과한 것이지만 상업 수주나 대형발전 실적과는 구분해야 한다. 현지 유통·서비스망, 실증과 고객계약이 사업화 기준이다. 인증은 유럽 판매의 기술적 진입조건을 충족한 것이며, 현지 유통계약과 실제 출하가 상업화 여부를 가
296 | high | 2026-07-02 | KR | 2026-07-02_KR_04 | 플렉셀스페이스, 107억원 우주용 CIGS·페로브스카이트 탠덤 국책과제 주관 | FACT: 플렉셀스페이스는 한국에너지기술평가원의 ‘저가 고효율 우주용 탠덤 모듈 개발 및 검증’ 과제 주관기관으로 선정됐다고 밝혔다. 과제는 총사업비 107억원으로 3년간 CIGS·페로브스카이트 탠덤셀과 모듈을 개발하고 우주환경 적용 가능성을 검증한다. 플렉셀스페이스는 별도 태양전지 샘플을 ISS 외부에 노출해 진공·온도변화·자외선 | GATE: 과제선정은 연구개발 착수 단계이며 우주환경 성능과 상업 공급계약을 의미하지 않는다. 방사선·열·진공 시험, 우주실증 일정과 제조원가가 기술사업화의 관문이다. ISS 실증은 회사의 기술검증 기반을 보여주지만 이번 CIGS·페로브스카이트 탠덤 과제의 성과를 선반영하는 근거
297 | high | 2026-07-02 | KR | 2026-07-02_KR_01 | 정부, K-DC 산업 확산 전략 공개…직류 전력망 실증·표준·사업화 연계 | FACT: 기후에너지환경부와 한국전력공사는 2026년 7월 2일 충남 천안 LS일렉트릭 사업장에서 ‘K-DC 산업 확산 2026’ 행사를 열고 직류 산업 확산 전략을 공개했다. 정부는 연구개발부터 실증·사업화까지 이어지는 생태계를 구축하고 표준·인증체계와 관련 제도를 정비할 계획이다. 한국에너지공대 내 직류 특화 연구단지 조성을 위 | GATE: 정책은 직류 기술의 연구개발을 넘어 실제 계통·산업현장 적용과 표준 선점을 목표로 한다. 구체적인 실증사업 규모, 예산, 기술기준과 민간 발주 전환 여부가 실행력을 가를 기준이다. 연구단지와 MOU는 실행기반이지만 예산·입주일정·공동 표준·인증체계와 실증사업 발주가 구
298 | high | 2026-07-02 | GL | 2026-07-02_GL_08 | Amazon, 호주 Winton North 220MWh BESS PPA 추가 체결 | FACT: European Energy는 7월 2일 Winton North 프로젝트의 금융종결을 발표했다. 프로젝트는 130MW 태양광과 100MW·220MWh BESS로 구성되며 Amazon은 기존 태양광 PPA에 배터리 PPA를 추가했다. 건설은 이미 시작됐고 2026년 준공 예정이다. | GATE: 금융종결과 태양광·배터리 양쪽 PPA가 확보된 건설단계 프로젝트다. 공사는 이미 시작됐으며 2026년 준공 여부가 다음 실행 기준이다.
299 | high | 2026-07-02 | GL | 2026-07-02_GL_06 | Pure Battery Technologies, 인도네시아 3.5억달러 pCAM 공장 계획 협의 | FACT: 호주 배터리소재 기술기업 Pure Battery Technologies는 인도네시아에 약 3억5,000만달러 규모 pCAM 시설을 개발하는 방안을 추진하고 있다. 회사 회장과 인도네시아 투자·다운스트리밍 차관은 시드니 투자진흥센터에서 계획을 논의했다. 구상은 인도네시아 HPAL 설비에서 생산되는 MHP를 현지 전구체 원료 | GATE: 현재는 투자유치·계획협의 단계로 부지, 생산능력·제품조성, 기술라이선스, 파트너·지분구조, 금융조달과 FID가 확정되지 않았다. 3억5,000만달러는 계획금액이며 환경·전력·용수, MHP 장기조달과 고객 오프테이크가 없으면 실제 집행으로 이어지지 않을 수 있다.
300 | high | 2026-07-02 | GL | 2026-07-02_GL_05 | Tesla, 2026년 2분기 에너지저장 제품 13.5GWh 배치 | FACT: Tesla는 SEC 제출자료에서 2026년 2분기 에너지저장 제품 13.5GWh를 배치했다고 밝혔다. 이는 1분기 8.8GWh보다 53%, 2025년 2분기 9.6GWh보다 40% 증가한 수치이며, 2025년 4분기 14.2GWh에 이어 회사의 두 번째로 높은 분기 배치량으로 집계됐다. | GATE: 배치량은 고객현장에 인도·설치된 에너지용량 지표로 생산량, 인식매출, 현금수취나 수익성과 동일하지 않다. 프로젝트 믹스·지역, 제품가격, 설치시점과 원가가 분기별 매출·마진을 크게 바꿀 수 있다. 생산능력과 배치량의 차이는 재고·물류·시운전 일정도 반영한다.
301 | high | 2026-07-02 | GL | 2026-07-02_GL_04 | CIP, 칠레 220MW·1.1GWh Arena BESS 상업운전 개시 | FACT: Copenhagen Infrastructure Partners는 칠레 북부에서 220MW·1.1GWh Arena BESS의 상업운전을 시작했다. 설비는 낮 시간 태양광 잉여전력을 충전해 저녁 수요시간에 공급하며 정격출력·용량 기준 명목 저장시간은 5시간이다. 프로젝트는 파리협정 제6조에 따른 국제감축실적 ITMO 생성 승 | GATE: 상업운전은 기술적 가동개시를 의미하지만 장기 수익성을 보장하지 않는다. CAPEX, 부채·자본구조, 전력판매·용량계약과 merchant 노출은 공개되지 않았다. 5시간은 정격 파생값이며 실제 usable energy·효율·사이클과 ITMO의 발행·이전 실적을 확인해야 
302 | high | 2026-07-02 | GL | 2026-07-02_GL_03 | 빅토리아주, DFP로 BESS 허가상 최대 1.64GW 포함 4개 프로젝트 계획승인 | FACT: 호주 빅토리아주 정부는 Development Facilitation Program을 통해 Morwell BESS, Nine Mile BESS 1·2단계, Gelliondale Wind Farm과 Chivers Road BESS의 계획허가를 처리했다. 허가자료상 BESS 전력용량 상한은 Morwell 1,000MW, Nin | GATE: 1.64GW는 허가상 최대 전력용량의 합계로 에너지용량, 최종 설계, 확정발주나 착공물량이 아니다. 특히 Morwell 1,000MW는 허가범위 상한으로 실제 건설규모와 다를 수 있다. 각 프로젝트의 FID, 계통접속·토지조건, 금융조달과 EPC 착공을 별도로 확인해야
303 | high | 2026-07-02 | GL | 2026-07-02_GL_02 | 세계은행, 모로코 300MW·1,500MWh Ifahsa 양수저장에 2.65억달러 승인 | FACT: 세계은행은 모로코 국영전력청 ONEE가 추진하는 Ifahsa 300MW·1,500MWh 양수저장 프로젝트에 2억6,500만달러 금융을 승인했다. 총사업비는 약 5억달러로 전망되며 아프리카개발은행이 공동금융에 참여한다. 설계상 저장시간은 5시간이고 프로젝트는 최소 1GW의 신규 태양광·풍력 계통통합을 지원하는 것을 목표로  | GATE: 이사회 금융승인은 공동금융 종결, 대출조건 충족, 조달·착공을 의미하지 않는다. 환경·사회 조건, 수문·지질 위험, EPC 계약과 비용초과·일정지연을 확인해야 한다. 1,500MWh와 1GW 연계효과는 설계·목표값이지 실적이 아니다.
304 | high | 2026-07-02 | GL | 2026-07-02_GL_01 | Alsym Energy·ERITY, 광산용 비리튬 나트륨계 BESS 최대 9GWh 전략협약 | FACT: Alsym Energy와 ERITY는 전 세계 광산 프로젝트에 최대 9GWh 규모의 비리튬 나트륨계 BESS를 개발·배치하는 전략관계협약을 체결했다. 초기 대상지역은 탄자니아·사우디아라비아·핀란드·미국이며 마이크로그리드, 광물가공, 이동형 데이터센터와 전기화 장비 등이 적용시나리오로 제시됐다. | GATE: 9GWh는 전략협약의 최대 협력범위로 확정발주, 수주잔고, 금융확약이나 인도일정이 아니다. 프로젝트별 용량·가격, 기술사양·인증, 성능보증, 현지 파트너, 금융조달과 첫 FID가 공개돼야 상업가치를 평가할 수 있다.
305 | high | 2026-07-02 | EU | 2026-07-02_EU_03 | Vopak, 네덜란드 200MW·800MWh Oosterhout BESS FID…8년 톨링 확보 | FACT: Vopak는 Green Energy Storage 지분인수를 완료하고 네덜란드 Oosterhout 200MW·800MWh BESS에 최종투자결정을 내렸다. GES 인수와 프로젝트 투자액은 합계 2억3,000만유로다. Greenchoice가 전체 용량의 50%를 8년 톨링계약으로 사용하며 상업운전 목표는 2028년 상반기다 | GATE: 2억3,000만유로는 GES 지분인수와 프로젝트 투자를 합친 금액으로 순수 EPC·배터리 비용이 아니다. 절반만 장기 톨링으로 계약돼 잔여 50%의 merchant·계약구조, TenneT 계통조건, 건설비·열화보증과 일정준수가 수익성을 결정한다.
306 | high | 2026-07-02 | EU | 2026-07-02_EU_02 | Green Flexibility, 독일 750MW·3GWh BESS 개발 포트폴리오 인수 | FACT: Green Flexibility는 Kajoni가 개발한 독일 내 약 750MW·3GWh BESS 포트폴리오를 인수했다. Kajoni는 송전사업자의 계통접속 가능결정을 포함한 성숙도 절차를 거쳐 개별 프로젝트를 ready-to-build 단계까지 개발하고, Green Flexibility는 이후 자금조달·건설·운영과 전력시 | GATE: 750MW·3GWh는 다수 부지의 개발계획 합계로 최종 계통권리, 인허가, FID나 착공용량이 아니다. 인수가격·지급조건, 프로젝트 수·부지, RTB 전환기한과 탈락권리가 공개되지 않았다. 포트폴리오 가치평가는 개별 프로젝트의 계통성숙도와 개발성공률이 필요하다.
307 | high | 2026-07-02 | EU | 2026-07-02_EU_01 | Alpiq, Swissgrid와 스위스 BESS 300MW 접속용량 기본합의 | FACT: Alpiq는 스위스 Niedergösgen에 계획하는 300MW·1.2GWh 이상 BESS와 관련해 Swissgrid와 국가송전망 300MW 접속을 위한 기본합의를 체결했다. 프로젝트는 Gösgen 유수식 수력발전소 인근에 건설하며 최대 약 4시간 저장을 제공하도록 설계됐다. 회사는 2027년 착공과 2029년 시운전을  | GATE: 기본합의·예비 계통검토는 최종 접속계약, 지방 인허가, FID, 자본조달·공급자 선정과 다르다. 1.2GWh 이상은 계획용량이고 CAPEX·수익계약과 최종 usable capacity가 공개되지 않았다. 2027·2029 일정은 목표치다.
308 | high | 2026-07-02 | CN | 2026-07-02_CN_03 | CATL·J&T Express, 교환식 전기 대형트럭 5,000대 이상 전환 협력 | FACT: CATL과 J&T Express는 2026년 6월 30일 녹색물류 전략협력을 체결하고 J&T의 대형트럭 5,000대 이상에 Qiji Energy 배터리교환 서비스를 적용하기로 했다. CATL은 교환식 배터리, 스왑스테이션과 운영·유지보수 서비스를 제공하며 협력범위에는 물류단지 저장과 다른 신에너지 물류차량도 포함된다. | GATE: 5,000대 이상은 협력범위·전환목표로 실제 발주·인도완료 대수가 아니다. 차량 OEM, 배터리 소유·리스 구조, 스테이션 수·투자주체, 배치일정, 전력요금과 최소사용보장 조건이 공개되지 않았다. 경제성은 고가동률·고정노선에서의 TCO로 검증해야 한다.
309 | high | 2026-07-02 | CN | 2026-07-02_CN_02 | Tinci·Hualu Hengsheng, 더저우 연 30만톤 전해액 프로젝트 기본협약 | FACT: Tinci Materials와 Hualu Hengsheng는 2026년 6월 30일 중국 더저우에서 연 30만톤 리튬배터리 전해액 프로젝트 전략협력 기본협약을 체결했다. Hualu는 더저우 운하 Hengsheng 화학산업단지에서 DMC·EMC 등 배터리급 용제를 생산하며 Tinci의 핵심 상류 공급사다. 양사는 용제와 전 | GATE: 기본협약은 이사회·정부 투자승인, 환경심사, FID·착공과 다르다. 투자액, 지분·자금조달, 단계별 능력, 완공일, 고객·오프테이크가 공개되지 않았다. 중국 전해액 과잉능력과 가격하락 속에서 30만톤 명목능력의 실제 가동률이 핵심 위험이다.
310 | high | 2026-07-01 | GL | 2026-07-01_GL_05 | 2025년 ESS 108GW, LFP 90%; 2026년 EV 판매증가 0.9%로 둔화 | FACT: IEA는 2025년 세계 배터리저장 신규설치가 108GW로 전년보다 40% 증가했고 LFP가 약 90%를 차지했다고 집계했다. EV는 2025년 전체 배터리 deployment의 70% 이상을 차지해 여전히 최대 수요처였다. Reuters가 인용한 Benchmark 자료에서는 2026년 1~5월 글로벌 EV 판매증가가 0 | GATE: 2025년 저장장치 용량배치와 2026년 EV 판매대수는 기간과 단위가 달라 직접적인 시장점유율 비교에 사용할 수 없다. ESS가 EV를 대체했다는 뜻도 아니며 EV는 여전히 전체 배터리 deployment의 70% 이상이다. 원료영향은 응용처별 화학계와 실제 배터리용
311 | high | 2026-07-01 | EU | 2026-07-01_EU_04 | Ofgem, Dynamic Response 변경안 8건 중 6건 승인 | FACT: 영국 Ofgem은 7월 1일 NESO의 Dynamic Response 약관 변경안 8건 중 6건을 승인했다. 7월 31일 시행분에는 유효한 최종물리통지(FPN)를 제출하지 않은 BMU를 비가용으로 처리하는 기준과 다른 NESO 서비스와의 중복보상을 막는 사전승인 기준이 포함됐다. 추가 변경은 2027년 1월 1일부터 시행 | GATE: Ofgem은 NESO가 최종 제출한 8건 중 6건을 승인하고 2건을 거부했다. 두 시행단계가 BESS의 가용성 신고와 수익원 결합 방식에 미치는 영향이 다음 확인 기준이다.
312 | high | 2026-07-01 | EU | 2026-07-01_EU_03 | Jinko ESS·Taliva Energy, 동유럽 BESS 400MWh 공급계약 | FACT: Jinko ESS와 Taliva Energy는 2026년 7월 1일 동유럽의 여러 유틸리티급 프로젝트를 대상으로 총 400MWh 배터리에너지저장장치 공급계약을 체결했다고 발표했다. Taliva Energy는 루마니아와 튀르키예를 중심으로 에너지저장 프로젝트를 개발하고 있다. | GATE: 복수 프로젝트를 묶은 공급계약으로 개별 부지·용량·납품일정과 계약금액은 별도 확인이 필요하다. 프로젝트별 금융종결과 계통연계가 실제 매출인식의 관문이다. 400MWh는 복수 프로젝트 합계이므로 개별 부지·인허가·납품일정·보증조건과 실제 발주확정 물량을 구분해야 한다.
313 | high | 2026-07-01 | CN | 2026-07-01_CN_03 | 중국, EV 배터리 내구성 표준 시행…SOCE 표시 오차 5% 기준 | FACT: 중국 권고성 국가표준 GB/T 46991.1-2025 ‘전기자동차 탑재 동력배터리 내구성 요구 및 시험방법 제1부: 경량차’가 2026년 7월 1일 시행됐다. 표준은 차량의 SOCE 모니터링, 사용자에게 SOCE 값을 제공하는 최소 한 가지 조회수단, 차량 표시 SOCE와 측정값의 차이 5% 이내 기준을 규정한다. | GATE: 표준은 2026년 7월 1일 시행됐지만 모든 기존 차량에 동일 기능을 소급적용하는 것은 아니다. 적용차종과 시험집행 범위를 구분해 실제 영향을 확인해야 한다.
314 | high | 2026-07-01 | CN | 2026-07-01_CN_02 | CATL Jianxiawo, 2028년까지 안전허가: 연 4만6000톤 공급영향은 실제 생산량이 관건 | FACT: Reuters는 CATL Jianxiawo 리튬광산의 안전생산허가가 2026년 6월 29일 발급됐고 2028년 2월 27일까지 유효하다고 보도했다. 광산의 연간 생산능력은 탄산리튬 환산 약 4만6000톤으로 2025년 세계 생산량의 약 3%다. CnEVPost는 허가 취득 당시 일부 근로자가 복귀 준비교육을 시작했다고 전 | GATE: 안전생산허가는 재가동의 핵심 규제문턱을 해소하지만 실제 원광투입, 가동률, 탄산리튬 생산량과 출하를 입증하지 않는다. 연 4만6000톤은 생산능력이며 실제 공급량이 아니다. 현지 2차 보도와 근로자 교육도 정상가동의 회사 또는 행정 확인을 대신하지 않는다.
315 | mid  | 2026-07-31 | KR | 2026-07-31_KR_04 | 효성화학, 2Q 영업익 1,708억원…필름 판가 인상으로 수익성 개선 | FACT: 효성화학의 2026년 2분기 매출은 8,713억원, 영업이익은 1,708억원이다. 공식 실적자료는 기타 부문에서 필름의 판가 인상과 스프레드 확대에 따른 수익성 개선을 설명한다. 다만 현재 공개된 1차 자료에서 배터리 파우치급 필름 공급은 확인되지 않았다. | GATE: 현재 확인된 공식 자료는 효성화학의 필름 수익성 개선을 보여주지만, 해당 필름·PP가 배터리 파우치용 내층재로 인증·공급된다는 근거는 없다. 배터리 파우치 원재료로 단정하지 않는다.
